league_id,team_id,league,team,total_points,overall_effectivity,overall_ineffectuality,avg_points_per_match,total_matches,total_wins,total_draws,total_loses,win_pct,draw_pct,lose_pct,total_goals,total_goals_conceded,total_goals_difference,avg_goal_per_match,avg_goal_against_per_match,home,away,total_home_wins,total_home_draws,total_home_loses,total_away_wins,total_away_draws,total_away_loses,avg_home_win,avg_home_draw,avg_home_lose,avg_away_win,avg_away_draw,avg_away_lose,prop_home_win,prop_away_win,prop_home_draw,prop_away_draw,prop_home_lose,prop_away_lose,total_home_goals,total_home_goals_conceded,total_away_goals,total_away_goals_conceded,prop_home_goals,prop_away_goals,prop_home_goals_recv,prop_away_goals_recv,avg_home_goals_per_match,avg_away_goals_per_match
21518,8634,Spain LIGA BBVA,FC Barcelona,745,91.1184210526316,8.88157894736842,2,304,234,43,27,76.9736842105263,14.1447368421053,8.88157894736842,849,232,617,2,0,152,152,131,12,9,103,31,18,55.982905982906,27.906976744186,33.3333333333333,44.017094017094,72.0930232558139,66.6666666666667,86.1842105263158,67.7631578947368,7.89473684210526,20.3947368421053,5.92105263157895,11.8421052631579,495,101,354,131,58.3038869257951,41.6961130742049,43.5344827586207,56.4655172413793,2.0,1.0
13274,8593,Netherlands Eredivisie,Ajax,602,88.2352941176471,11.7647058823529,2,272,181,59,32,66.5441176470588,21.6911764705882,11.7647058823529,647,236,411,2,0,136,136,103,24,9,78,35,23,56.9060773480663,40.6779661016949,28.125,43.0939226519337,59.3220338983051,71.875,75.7352941176471,57.3529411764706,17.6470588235294,25.7352941176471,6.61764705882353,16.9117647058824,360,78,287,158,55.6414219474498,44.3585780525502,33.0508474576271,66.9491525423729,1.0,1.0
7809,9823,Germany 1. Bundesliga,FC Bayern Munich,623,87.1323529411765,12.8676470588235,2,272,193,44,35,70.9558823529412,16.1764705882353,12.8676470588235,653,211,442,2,0,136,136,109,14,13,84,30,22,56.4766839378238,31.8181818181818,37.1428571428571,43.5233160621762,68.1818181818182,62.8571428571429,80.1470588235294,61.7647058823529,10.2941176470588,22.0588235294118,9.55882352941176,16.1764705882353,382,96,271,115,58.4992343032159,41.5007656967841,45.4976303317536,54.5023696682464,1.0,1.0
21518,8633,Spain LIGA BBVA,Real Madrid CF,720,86.8421052631579,13.1578947368421,2,304,228,36,40,75.0,11.8421052631579,13.1578947368421,843,304,539,2,1,152,152,129,11,12,99,25,28,56.5789473684211,30.5555555555556,30.0,43.4210526315789,69.4444444444444,70.0,84.8684210526316,65.1315789473684,7.23684210526316,16.4473684210526,7.89473684210526,18.4210526315789,505,147,338,157,59.9051008303677,40.0948991696323,48.3552631578947,51.6447368421053,2.0,1.0
10257,9885,Italy Serie A,Juventus,633,84.7176079734219,15.2823920265781,2,301,189,66,46,62.7906976744186,21.9269102990033,15.2823920265781,543,250,293,1,0,151,150,105,30,16,84,36,30,55.5555555555556,45.4545454545455,34.7826086956522,44.4444444444444,54.5454545454545,65.2173913043478,69.5364238410596,56.0,19.8675496688742,24.0,10.5960264900662,20.0,307,124,236,126,56.5377532228361,43.4622467771639,49.6,50.4,1.0,1.0
13274,8640,Netherlands Eredivisie,PSV,581,82.7205882352941,17.2794117647059,2,272,178,47,47,65.4411764705882,17.2794117647059,17.2794117647059,652,294,358,2,1,136,136,105,18,13,73,29,34,58.9887640449438,38.2978723404255,27.6595744680851,41.0112359550562,61.7021276595745,72.3404255319149,77.2058823529412,53.6764705882353,13.2352941176471,21.3235294117647,9.55882352941176,25.0,370,126,282,168,56.7484662576687,43.2515337423313,42.8571428571429,57.1428571428571,1.0,1.0
4769,9847,France Ligue 1,Paris Saint-Germain,601,82.5657894736842,17.4342105263158,2,304,175,76,53,57.5657894736842,25.0,17.4342105263158,568,267,301,1,0,152,152,102,32,18,73,44,35,58.2857142857143,42.1052631578947,33.9622641509434,41.7142857142857,57.8947368421053,66.0377358490566,67.1052631578947,48.0263157894737,21.0526315789474,28.9473684210526,11.8421052631579,23.0263157894737,332,116,236,151,58.4507042253521,41.5492957746479,43.4456928838951,56.5543071161049,1.0,1.0
1729,10260,England Premier League,Manchester United,633,81.9078947368421,18.0921052631579,2,304,192,57,55,63.1578947368421,18.75,18.0921052631579,582,280,302,1,0,152,152,116,16,20,76,41,35,60.4166666666667,28.0701754385965,36.3636363636364,39.5833333333333,71.9298245614035,63.6363636363636,76.3157894736842,50.0,10.5263157894737,26.9736842105263,13.1578947368421,23.0263157894737,338,120,244,160,58.0756013745704,41.9243986254296,42.8571428571429,57.1428571428571,1.0,1.0
1729,8455,England Premier League,Chelsea,598,80.9210526315789,19.0789473684211,2,304,176,70,58,57.8947368421053,23.0263157894737,19.0789473684211,583,286,297,1,0,152,152,101,34,17,75,36,41,57.3863636363636,48.5714285714286,29.3103448275862,42.6136363636364,51.4285714285714,70.6896551724138,66.4473684210526,49.3421052631579,22.3684210526316,23.6842105263158,11.1842105263158,26.9736842105263,333,129,250,157,57.1183533447684,42.8816466552316,45.1048951048951,54.8951048951049,1.0,1.0
7809,9789,Germany 1. Bundesliga,Borussia Dortmund,533,80.5147058823529,19.4852941176471,2,272,157,62,53,57.7205882352941,22.7941176470588,19.4852941176471,551,282,269,2,1,136,136,88,30,18,69,32,35,56.0509554140127,48.3870967741936,33.9622641509434,43.9490445859873,51.6129032258064,66.0377358490566,64.7058823529412,50.7352941176471,22.0588235294118,23.5294117647059,13.2352941176471,25.7352941176471,298,112,253,170,54.0834845735027,45.9165154264973,39.7163120567376,60.2836879432624,1.0,1.0
